,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Salesperson,Total Items Sold,Total Revenue,,,,,,,,,,,,,,,,,,,,
David,43,R270 000.00,,,,,,,,,,,,,,,,,,,,
Electronics,31,R246 000.00,,,,,,,,,,,,,,,,,,,,
Furniture,12,R24 000.00,,,,,,,,,,,,,,,,,,,,
John,47,R260 500.00,,,,,,,,,,,,,,,,,,,,
Electronics,26,R220 000.00,,,,,,,,,,,,,,,,,,,,
Furniture,21,R40 500.00,,,,,,,,,,,,,,,,,,,,
Mary,39,R204 000.00,,,,,,,,,,,,,,,,,,,,
Electronics,21,R168 000.00,,,,,,,,,,,,,,,,,,,,
Furniture,18,R36 000.00,,,,,,,,,,,,,,,,,,,,
Sarah,26,R148 000.00,,,,,,,,,,,,,,,,,,,,
Electronics,16,R124 000.00,,,,,,,,,,,,,,,,,,,,
Furniture,10,R24 000.00,,,,,,,,,,,,,,,,,,,,
Unknown,4,R21 000.00,,,,,,,,,,,,,,,,,,,,
Electronics,1,R12 000.00,,,,,,,,,,,,,,,,,,,,
Furniture,3,R9 000.00,,,,,,,,,,,,,,,,,,,,
Grand Total,159,R903 500.00,,,,,,,,,,,,,,,,,,,,
