uqnr,personnr,psu,prov,head_popgrp,head_sex,head_age,hsg_maind,hsg_walls,hsg_roof,hsg_floor,hsg_cond_wall,hsg_cond_roof,hsg_cond_floor,hsg_rm_tot,hsg_tenure,hsg_rent,hsg_rdp,hsg_subsidy,wat_drinkwat,wat_dist,wat_time,wat_pipe,wat_treat,wat_mun_source,wat_meter,wat_pay,wat_inte_12mth,wat_inte_2days,wat_inte_altsource,wat_inte_15days,wat_bottle,san_toil,san_share,san_location,san_distance,san_washfac,san_wash,eng_access,eng_mainelect,eng_mains,eng_supply,eng_cook,eng_light,eng_wheat,eng_sheat,eng_loadshed_freq,eng_light_alt,eng_cook_alt,eng_pay,swr_rub,swr_sepwaste,swr_env_rub,swr_env_lit,swr_env_wat,swr_env_air,swr_env_lan,swr_env_noi,com_phone,com_cell,com_cell_total,com_int_fixed,com_int_mobile,com_int_pubwifi,com_int_stud,com_int_work,com_int_libr,com_int_cafe,com_mail_post,com_mail_Pbag,com_mail_Postnet,com_mail_Other,tra_taxi,tra_bus,tra_train,tra_taxi_trips,tra_taxi_cost,tra_taxi_dist,tra_bus_trips,tra_bus_cost,tra_bus_dist,tra_train_trips,tra_train_cost,tra_train_dist,hhw_hltfac,hhw_transp,hhw_time,fsd_hung_adult,fsd_hung_child,fsd_worried,fsd_healthy,fsd_fewfoods,fsd_fewfoods_days,fsd_skipped,fsd_skipped_days,fsd_ateless,fsd_ateless_days,fsd_ranout,fsd_ranout_days,fsd_hungry,fsd_whlday,agr_agri,agr_agrino,agr_agrdecmaker,agr_agri_type_live,agr_agri_type_poul,agr_agri_type_grai,agr_agri_type_indus,agr_agri_type_fruit,agr_agri_type_fod,agr_agri_type_fish,agr_agri_type_for,agr_agri_type_game,agr_mainuse,agr_plant_farm,agr_plant_back,agr_plant_schl,agr_plant_comm,agr_plant_vrd,agr_plant_oth,fin_inc_sal,fin_inc_buss,fin_inc_rem,fin_inc_pen,fin_inc_grant,fin_inc_agric,fin_inc_none,fin_inc_oth,fin_inc_main,fin_rem,fin_pen,fin_reqinc,fin_compinc,fin_exp,hwl_vehicle,hwl_totveh,hwl_domw,hwl_status,hwl_happy,hwl_assets_tv,hwl_assets_pool,hwl_assets_dvd,hwl_assets_paytv,hwl_assets_ac,hwl_assets_comp,hwl_assets_vac,hwl_assets_dishw,hwl_assets_washm,HWL_Assets_tumd,hwl_assets_freezer,hwl_assets_fridge,hwl_assets_estove,hwl_assets_microw,hwl_assets_sink,hwl_assets_secure,hwl_assets_hometh,hwl_assets_geyser,hwl_assets_solarg,hwl_assets_solarp,hwl_assets_rainwtnk,hwl_assets_borehole,hwl_assets_piano,hwl_assets_radio,hwl_assets_Gstove,hwl_res_name,Q1ntLanguage,Q2Dwelling,hholdsz,mobphon_hh,smartphone_hh,onemed_hh,chld5yr_hh,chld17yr_hh,ad60plusyr_hh,lab_salary_hh,soc_grant_hh,totalgrnt_hh,undisab_hh,disab_hh,sevdisab_hh,econact_hh,totmhinc,stratum,geotype,metro,metro_code,rotation,house_wgt
160100090000003901,01,16010009000,1,2,1,80,1,7,2,6,4,4,4,6,5,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,4,10,2,1,8,1,2,1,1,1,2,1,1,1,1,1,1,2,1,9,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1,2,2,2,8,2,8,2,8,2,8,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,8888888,8888888,5000,2,9,1,2,1,4,3,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,0,0,0,2,9475,0,0,0,0,0,1,9475,10301,3,2,1,3,697.943521275
160100090000007201,01,16010009000,1,2,1,51,5,1,2,7,3,3,3,3,6,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,1,1,2,2,8,2,2,1,2,1,2,1,1,1,1,1,8,7,1,5,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,2,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,2,2,2,2,1,8888888,8888888,1000,2,6,2,88,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,0,0,0,0,0,2008,0,0,0,0,0,1,2008,10301,3,2,1,3,954.777640669
160100090000007202,01,16010009000,1,1,1,25,5,1,2,7,3,3,3,1,6,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,1,1,2,2,8,2,1,1,2,1,2,1,1,1,1,1,8,7,1,5,5,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,2,2,2,2,1,8888888,8888888,5000,2,8,2,88,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,0,0,0,0,6926,0,0,0,0,0,2,6926,10301,3,2,1,3,1814.93333549
160100090000013801,01,16010009000,1,2,1,51,1,1,11,7,2,2,2,4,6,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,1,1,1,2,8,1,2,1,2,1,2,1,1,1,5,1,8,7,1,5,5,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,2,2,1,2,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,1,2,2,2,1,8888888,8888888,2000,2,7,2,88,2,4,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,4,2,2,0,1,2,0,5005,2,1200,0,0,0,2,6205,10301,3,2,1,3,954.777640669
160100330000001101,01,16010033000,1,2,1,57,1,1,2,4,4,4,4,10,3,6,2,2,1,8,8,8,3,1,1,1,2,8,88,8,3,1,2,1,8,2,2,1,2,1,1,3,1,1,1,1,3,2,1,1,5,2,2,2,2,2,2,2,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,1,2,2,2,1,8888888,8888888,20000,2,10,1,2,2,3,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,1,1,5,3,3,3,0,1,0,48080,1,480,0,0,0,4,48560,10107,1,2,1,4,711.09018111
160100330000003601,01,16010033000,1,4,1,33,1,1,2,6,4,4,4,6,1,6,2,2,1,8,8,8,3,1,1,1,1,2,88,2,3,1,2,1,8,2,2,1,2,1,1,1,1,1,9,1,1,2,1,1,5,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,2,2,2,2,1,8888888,8888888,10000,2,10,1,2,2,3,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,0,0,0,43166,0,0,0,0,0,2,43166,10107,1,2,1,4,1020.91363276
160100330000006101,01,16010033000,1,4,1,72,1,1,11,6,4,4,4,9,5,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,3,1,2,1,8,1,2,1,2,1,1,1,1,1,1,1,3,2,1,1,5,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,1,2,2,2,2,4,8888888,40000,20000,2,10,1,2,1,3,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,40000,10107,1,2,1,4,585.315567837
160100330000008601,01,16010033000,1,4,1,48,1,1,11,6,4,3,4,7,5,88,2,2,1,8,8,8,3,1,1,1,1,1,9,1,3,1,2,1,8,1,2,1,2,1,1,1,1,1,1,4,3,7,1,1,5,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,1,2,2,2,2,2,1,1000,8888888,5000,2,9,1,1,2,3,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,0,0,0,18950,0,0,0,0,0,2,19950,10107,1,2,1,4,1043.77811045
160100330000011101,01,16010033000,1,4,2,68,1,1,11,6,4,4,4,9,1,6,2,2,1,8,8,8,3,1,1,1,1,2,88,1,4,1,2,1,8,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,4,2,2,2,2,2,2,2,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,2,2,2,2,1,8888888,8888888,15000,2,11,1,2,2,3,3,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,4,4,4,3,0,0,1,48287,0,0,0,0,0,3,48287,10107,1,2,1,4,648.793447486
160100630000003601,01,16010063000,1,2,1,42,1,2,2,6,4,4,4,7,5,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,1,1,2,1,8,2,2,1,2,1,1,1,1,1,1,1,3,7,1,1,5,2,2,2,2,2,2,2,1,3,1,1,2,2,2,2,2,1,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,2,2,2,2,1,8888888,8888888,8000,2,10,1,1,2,4,3,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,3,3,3,2,0,1,0,28541,0,0,0,0,0,2,28541,10106,1,2,1,3,1043.90985461
160100630000007201,01,16010063000,1,2,1,29,1,2,2,7,3,3,3,1,1,2,1,2,1,8,8,8,3,1,1,2,2,8,88,8,1,1,2,1,8,2,2,1,2,1,1,1,1,1,1,1,4,4,1,1,5,2,2,2,2,2,2,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,1,2,2,2,1,8888888,8888888,2000,3,6,2,88,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,0,0,0,1,3257,1,1990,0,0,0,2,5247,10106,1,2,1,3,952.094322542
160100630000010801,01,16010063000,1,2,2,30,1,2,2,6,4,4,4,5,6,88,1,2,1,8,8,8,3,1,1,1,2,8,88,8,3,1,2,1,8,2,2,1,2,1,1,1,1,1,1,1,3,7,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,2,2,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,1,2,1,2,2,2,3,1000,8888888,2000,2,8,2,88,2,4,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,3,1,1,0,1,2,0,0,1,480,0,0,0,0,1480,10106,1,2,1,3,1467.647659
160100630000014401,01,16010063000,1,2,1,37,1,2,2,6,4,4,4,4,5,88,2,2,1,8,8,8,3,1,1,1,1,2,88,2,3,1,2,1,8,2,2,1,2,1,1,1,1,1,1,1,3,2,1,1,5,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,2,1,2,2,2,1,8888888,8888888,5000,2,9,2,88,2,4,3,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,2,0,0,1,0,9475,1,480,0,0,0,1,9955,10106,1,2,1,3,1043.90985461
160100630000018001,01,16010063000,1,2,2,51,1,2,2,6,5,4,4,8,5,88,2,2,1,8,8,8,3,1,1,1,2,8,88,8,3,1,2,1,8,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,1,2,2,1,7,8888888,8888888,5000,2,8,1,1,1,3,3,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,0,0,0,0,0,1,1990,0,0,0,0,1990,10106,1,2,1,3,844.592485468
160100630000021601,01,16010063000,1,2,2,54,1,1,11,6,4,4,4,12,6,88,2,2,1,8,8,8,3,1,1,1,2,8,88,8,3,1,2,1,8,1,2,1,2,1,1,1,1,1,1,1,3,7,1,1,5,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,140,0,888,8888,888,888,8888,888,6,2,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,1,2,2,2,5,8888888,8888888,3000,3,7,2,88,2,4,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,3,0,0,0,0,2,0,0,2,2140,0,0,0,0,2140,10106,1,2,1,3,844.592485468
160100920000001001,01,16010092000,1,4,1,43,1,1,11,6,4,4,4,6,1,7,2,2,1,8,8,8,3,2,8,8,8,8,88,8,4,1,2,1,8,1,2,1,1,1,2,1,1,1,1,1,1,2,1,6,1,2,2,2,2,2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,8,8,8,8,8,8,1,1,2,2,2,2,2,2,2,8888888,8888888,10000,2,10,1,2,1,3,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,3,3,3,0,0,1,0,0,0,0,0,0,0,2,9999999,10301,3,2,1,3,1328.7018257
160100920000004701,01,16010092000,1,4,1,55,1,1,11,6,4,4,4,9,5,88,2,2,1,8,8,8,3,2,8,8,8,8,88,8,3,2,2,1,8,1,2,1,1,1,2,3,1,1,1,1,1,2,1,5,1,2,2,2,2,2,2,2,1,3,1,1,2,2,2,2,2,2,1,2,2,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,8888888,8888888,10000,2,10,1,3,1,3,3,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,3,2,2,0,0,1,0,34935,0,0,0,0,0,2,34935,10301,3,2,1,3,1036.74289253
160101410000005201,01,16010141000,1,2,1,71,1,2,2,6,4,4,4,4,5,88,2,2,2,8,8,8,3,1,1,1,2,8,88,8,2,1,2,2,8,1,2,1,2,1,2,1,1,1,1,1,8,7,1,1,5,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,1,2,2,2,5,8888888,8888888,3000,2,8,1,1,2,4,3,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,0,0,0,2,0,2,4000,1,1,1,0,4000,10106,1,2,1,1,519.807716277
160101410000008701,01,16010141000,1,2,2,69,1,2,2,6,4,4,4,3,5,88,2,2,1,8,8,8,3,1,1,1,1,2,88,2,1,1,2,2,8,2,2,1,2,1,2,1,1,1,1,1,3,2,1,1,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,1,2,2,2,5,8888888,8888888,10000,2,7,2,88,2,4,3,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,1,1990,0,0,0,0,1990,10106,1,2,1,1,721.535369523
160101410000015701,01,16010141000,1,2,2,37,1,1,2,7,4,3,3,4,5,88,2,2,1,8,8,8,3,1,1,1,2,8,88,8,1,1,2,1,8,2,2,1,2,1,2,1,1,1,9,1,3,7,1,1,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1,2,2,2,8,2,8,2,8,2,8,2,2,2,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,1,2,1,2,2,2,1,2000,8888888,5000,2,8,1,1,2,3,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,1,1,3,2,2,0,0,0,0,2997,1,1990,1,1,1,1,6987,10106,1,2,1,1,1177.14915765
